Date,Market Cap,Revenue,Earnings,PE,Absolute PE,PS
09-11-2025,₫193.8t,₫112.0t,₫9.5t,7.8x,20.4x,1.7x
24-07-2025,₫214.7t,₫105.5t,₫8.6t,20.8x,24.9x,2x
07-04-2025,₫184.3t,₫102.7t,₫8.2t,20.8x,22.4x,1.8x
20-12-2024,₫241.8t,₫97.8t,₫7.8t,37x,31.1x,2.5x
03-09-2024,₫221.3t,₫94.5t,₫7.4t,32.5x,29.9x,2.3x
18-05-2024,₫197.6t,₫91.6t,₫7.1t,29.1x,28x,2.2x
31-01-2024,₫142.0t,₫87.7t,₫6.8t,22.6x,20.9x,1.6x
15-10-2023,₫152.7t,₫84.9t,₫6.3t,24.2x,24.3x,1.8x
29-06-2023,₫113.8t,₫83.8t,₫6.1t,18.8x,18.6x,1.4x
13-03-2023,₫103.7t,₫85.2t,₫6.0t,18x,17.2x,1.2x
25-11-2022,₫92.1t,₫76.3t,₫6.1t,8.6x,15.2x,1.2x
09-08-2022,₫115.1t,₫71.1t,₫5.6t,15.9x,20.4x,1.6x
23-04-2022,₫125.1t,₫65.5t,₫4.9t,25.6x,25.5x,1.9x
05-01-2022,₫106.0t,₫66.8t,₫4.5t,24.6x,23.8x,1.6x
19-09-2021,₫106.4t,₫65.4t,₫4.2t,24.8x,25.2x,1.6x
03-06-2021,₫88.8t,₫62.6t,₫4.0t,16.3x,22x,1.4x
15-02-2021,₫57.5t,₫58.8t,₫3.8t,14x,15.1x,1x
30-10-2020,₫46.7t,₫56.6t,₫3.5t,9.4x,13.2x,0.8x
14-07-2020,₫42.1t,₫53.6t,₫3.5t,8.6x,11.9x,0.8x
28-03-2020,₫43.0t,₫50.5t,₫3.3t,10x,13.1x,0.9x
11-12-2019,₫44.4t,₫47.9t,₫3.3t,14.1x,13.4x,0.9x
25-08-2019,₫38.2t,₫46.4t,₫3.1t,12.1x,12.4x,0.8x
09-05-2019,₫35.4t,₫44.6t,₫2.9t,11.7x,12.2x,0.8x
21-01-2019,₫30.0t,₫43.1t,₫2.8t,10.2x,10.8x,0.7x
05-10-2018,₫32.7t,₫48.3t,₫3.4t,10.5x,9.6x,0.7x
19-06-2018,₫32.3t,₫56.9t,₫3.2t,12x,10.1x,0.6x
03-03-2018,₫36.2t,₫61.4t,₫3.1t,11.7x,11.6x,0.6x
15-11-2017,₫30.1t,₫54.5t,₫2.3t,12x,13.1x,0.6x
30-07-2017,₫28.3t,₫53.3t,₫2.2t,11.1x,12.7x,0.5x
13-04-2017,₫25.1t,₫52.5t,₫2.2t,11.9x,11.5x,0.5x
26-12-2016,₫23.5t,₫49.6t,₫2.2t,10.2x,10.9x,0.5x
09-09-2016,₫23.4t,₫48.9t,₫2.0t,8.6x,11.5x,0.5x
24-05-2016,₫22.9t,₫49.2t,₫2.0t,9.5x,11.4x,0.5x
06-02-2016,₫21.9t,₫49.3t,₫2.1t,9.4x,10.5x,0.4x